ID.ASAP,Left.End.ASAP,Right.End.ASAP,gene.orientation
ABF-0014929,273161,273751,1
ABF-0014930,273939,274211,1
ABF-0014931,274216,274926,1
ABF-0014932,275011,276300,-1
ABF-0014933,276316,277905,-1
ABF-0014935,4601436,4601774,-1
ABF-0014937,4599847,4601373,1
ABF-0014939,4598288,4599502,-1
ABF-0014941,4596265,4597911,-1
ABF-0014942,4595990,4596247,-1
ABF-0014943,4595039,4595965,-1
ABF-0014944,4593115,4594965,-1
ABF-0014946,4591565,4593109,-1
ABF-0014947,4590665,4591405,-1
ABF-0014948,4589897,4590661,1
ABF-0014949,4589010,4589897,1
ABF-0014951,4587362,4588840,-1
ABF-0014954,4585267,4586766,1
ABF-0014955,4580996,4584985,-1
ABF-0014956,4580674,4580955,1
ABF-0014957,4578465,4580489,-1
ABF-0014958,4576605,4578413,1
ABF-0014959,4574420,4576240,1
ABF-0014963,4572220,4574040,1
ABF-0014965,4570505,4572001,1
ABF-0014966,4569211,4570497,1
ABF-0014967,4568765,4569091,-1
ABF-0014969,4567084,4568343,-1
ABF-0014971,4565786,4566862,-1
ABF-0014972,4564680,4565714,-1
ABF-0014973,4563463,4564593,-1
ABF-0014974,4562201,4563466,-1
ABF-0014975,4561437,4562153,-1
ABF-0014976,4560258,4561388,-1
ABF-0014977,4559008,4560258,-1
ABF-0014978,4557926,4559011,-1
ABF-0014979,4556593,4557933,-1
ABF-0014980,4555859,4556596,-1
ABF-0014984,4554144,4555538,-1
ABF-0014986,4553067,4553414,-1
ABF-0014987,4551511,4552965,1
ABF-0014989,4550235,4551458,1
ABF-0014990,4549277,4550221,1
ABF-0014991,4548240,4549220,1
ABF-0014993,4546436,4547800,-1
ABF-0014994,4545900,4546424,-1
ABF-0014995,4545107,4545886,-1
ABF-0014997,4544363,4545034,-1
ABF-0014998,4543592,4544353,-1
ABF-0014999,4542352,4543512,-1
ABF-0015002,4540534,4541730,1
ABF-0015003,4539404,4540531,1
ABF-0015004,4538562,4539302,1
ABF-0015005,4537624,4538565,1
ABF-0015006,4534740,4537298,-1
ABF-0015008,4534362,4534682,1
ABF-0015009,4534120,4534284,-1
ABF-0015010,4533207,4534031,-1
ABF-0015011,4532509,4533210,-1
ABF-0015012,4531604,4532512,-1
ABF-0015013,4530888,4531604,-1
ABF-0015014,4528639,4530801,-1
ABF-0015015,4528263,4528421,-1
ABF-0015016,4527319,4528269,-1
ABF-0015017,4526078,4527136,-1
ABF-0015018,4525199,4526119,1
ABF-0015019,4524628,4525098,1
ABF-0015021,4523534,4524403,-1
ABF-0015022,4521525,4523369,-1
ABF-0015023,4520841,4521464,-1
ABF-0015024,4520576,4520812,1
ABF-0015025,4519586,4520596,-1
ABF-0015026,4518808,4519428,1
ABF-0015027,4517702,4518694,-1
ABF-0015028,4516852,4517649,-1
ABF-0015029,4515779,4516861,1
ABF-0015031,4514275,4515624,1
ABF-0015033,4512331,4513974,-1
ABF-0015034,4511091,4512341,-1
ABF-0015037,4509889,4511094,-1
ABF-0015042,4508067,4508765,-1
ABF-0015043,4507130,4507945,1
ABF-0015046,4505474,4506472,-1
ABF-0015047,4504945,4505463,1
ABF-0015048,4503380,4504696,-1
ABF-0015050,4502711,4503304,1
ABF-0015052,4501418,4502512,-1
ABF-0015053,4500773,4501210,-1
ABF-0015054,4500180,4500392,-1
ABF-0015055,4498265,4499950,1
ABF-0015057,4495703,4497886,-1
ABF-0015058,4493733,4495703,-1
ABF-0015059,4492433,4493719,-1
ABF-0015060,4490923,4492356,-1
ABF-0015061,4488453,4490900,-1
ABF-0015062,4486540,4488039,1
ABF-0015064,4485818,4486138,-1
ABF-0015065,4485415,4485768,1
ABF-0015066,4484493,4485323,1
ABF-0015067,4483817,4484533,1
ABF-0015068,4482189,4483496,1
ABF-0015069,4481716,4482195,1
ABF-0015070,4480686,4481612,1
ABF-0015071,4479417,4480628,1
ABF-0015072,4478314,4479138,-1
ABF-0015073,4477398,4478156,-1
ABF-0015074,4474936,4477353,-1
ABF-0015075,4472737,4474923,-1
ABF-0015076,4471992,4472567,1
ABF-0015077,4471231,4471935,1
ABF-0015079,4470379,4471152,-1
ABF-0015081,4469617,4470117,1
ABF-0015083,4465119,4466837,1
ABF-0015084,4464404,4464904,1
ABF-0015085,4463414,4464133,-1
ABF-0015086,4462014,4463417,-1
ABF-0015088,4460281,4461900,1
ABF-0015089,4459953,4460171,1
ABF-0015092,4458647,4459519,1
ABF-0015093,4457994,4458407,1
ABF-0015094,4457293,4457997,1
ABF-0015096,4454965,4457094,1
ABF-0015099,4453991,4454542,-1
ABF-0015100,4451293,4453851,1
ABF-0015101,3287683,3288633,-1
ABF-0015107,1837467,1838324,1
ABF-0015108,1838334,1838633,1
ABF-0015110,1838626,1839459,1
ABF-0015112,1839456,1840256,1
ABF-0015113,1840514,1841473,1
ABF-0015114,1841495,1842112,1
ABF-0015116,1842114,1843022,1
ABF-0015117,1843006,1843938,-1
ABF-0015119,1844128,1844955,-1
ABF-0015120,1844957,1845811,-1
ABF-0015121,1845804,1846700,-1
ABF-0015122,1846697,1847647,-1
ABF-0015124,1847884,1848804,-1
ABF-0015126,1849110,1850441,1
ABF-0015127,1850483,1851232,1
ABF-0015129,4190479,4191420,-1
ABF-0015132,4191818,4192081,1
ABF-0015133,4192159,4193049,-1
ABF-0015135,4193081,4194277,-1
ABF-0015137,4194484,4195617,-1
ABF-0015138,4195728,4197638,-1
ABF-0015140,4198025,4198597,1
ABF-0015142,4198692,4200011,-1
ABF-0015144,4200140,4200727,-1
ABF-0015146,4201155,4202297,1
ABF-0015147,4202328,4203281,-1
ABF-0015150,4203585,4204364,1
ABF-0015152,4204506,4205795,-1
ABF-0015153,4205799,4206728,-1
ABF-0015154,4206731,4209187,-1
ABF-0015156,4209622,4210323,-1
ABF-0015159,4210886,4211602,1
ABF-0015161,4211700,4212176,-1
ABF-0015162,4212379,4213245,1
ABF-0015163,4213242,4213892,-1
ABF-0015164,4213944,4214480,1
ABF-0015165,4214494,4214835,-1
ABF-0015166,4215055,4216986,-1
ABF-0015167,4217457,4219121,1
ABF-0015168,4219312,4221018,-1
ABF-0015171,4221471,4222367,-1
ABF-0015172,4222478,4223479,1
ABF-0015173,4223595,4224827,-1
ABF-0015176,4225131,4225793,-1
ABF-0015177,4225989,4226882,1
ABF-0015178,4226912,4227640,-1
ABF-0015179,4227827,4228645,-1
ABF-0015180,4228783,4229667,-1
ABF-0015181,4229759,4230835,-1
ABF-0015182,4231042,4232205,-1
ABF-0015183,4232273,4233289,-1
ABF-0015185,4233614,4235608,-1
ABF-0015186,4235980,4237173,-1
ABF-0015188,4237404,4239380,-1
ABF-0015191,4239708,4240049,1
ABF-0015193,4240166,4241320,1
ABF-0015195,4241440,4241952,1
ABF-0015196,4242052,4242750,1
ABF-0015197,4242880,4243614,1
ABF-0015198,4243626,4244579,1
ABF-0015199,4244684,4245247,1
ABF-0015200,4245247,4245678,1
ABF-0015201,4245757,4246761,-1
ABF-0015202,4246932,4248314,1
ABF-0015203,4248437,4249735,-1
ABF-0015204,4249835,4250035,-1
ABF-0015205,4250096,4251091,-1
ABF-0015206,4251095,4252354,-1
ABF-0015207,4252429,4253709,-1
ABF-0015209,4253799,4254098,-1
ABF-0015210,4254243,4255184,-1
ABF-0015211,4255177,4257117,-1
ABF-0015212,4257145,4258821,-1
ABF-0015213,4258818,4259300,-1
ABF-0015214,4259297,4260838,-1
ABF-0015215,4260947,4261819,-1
ABF-0015216,4261996,4263135,1
ABF-0015219,4264110,4265507,1
ABF-0015220,4265532,4266905,1
ABF-0015221,4266941,4268059,1
ABF-0015222,4268109,4268897,1
ABF-0015223,4268901,4269632,1
ABF-0015224,4269643,4270581,1
ABF-0015225,4270578,4271777,1
ABF-0015226,4271829,4272956,1
ABF-0015227,4273022,4273948,-1
ABF-0015228,4274240,4274542,1
ABF-0015231,4274846,4275520,1
ABF-0015232,4275498,4276499,-1
ABF-0015234,4276941,4278317,1
ABF-0015235,4278314,4279255,1
ABF-0015236,4279301,4280248,1
ABF-0015237,4280278,4280808,1
ABF-0015238,4280813,4281751,1
ABF-0015239,4281770,4282588,1
ABF-0015240,4282691,4283701,-1
ABF-0015241,4283770,4284195,-1
ABF-0015242,4284314,4284784,-1
ABF-0015244,4284936,4286459,-1
ABF-0015250,3921417,3922124,1
ABF-0015251,3922108,3922482,-1
ABF-0015252,3922599,3923048,-1
ABF-0015263,2140253,2140924,-1
ABF-0015264,2140924,2141640,-1
ABF-0015265,2141656,2142387,-1
ABF-0015271,2095894,2096739,-1
ABF-0015273,2095352,2095564,-1
ABF-0015303,2976351,2977424,1
ABF-0015304,4392702,4392896,-1
ABF-0015305,4393026,4394210,-1
ABF-0015312,2867027,2867464,-1
ABF-0015313,2210155,2211684,1
ABF-0015328,2420371,2422041,1
ABF-0015343,2487422,2487691,-1
ABF-0015352,2567355,2567813,1
ABF-0015381,3353203,3355095,-1
ABF-0015382,3352252,3353061,1
ABF-0015384,3351598,3351837,-1
ABF-0015387,3350426,3351217,-1
ABF-0015389,3348798,3349559,-1
ABF-0015393,3346809,3348380,-1
ABF-0015394,3345458,3346723,1
ABF-0015396,3344780,3345076,-1
ABF-0015398,3343141,3344475,-1
ABF-0015399,3340952,3343144,-1
ABF-0015403,3339584,3340069,-1
ABF-0015405,3338940,3339482,1
ABF-0015407,3337712,3338644,-1
ABF-0015408,3336554,3337639,-1
ABF-0015410,3335676,3336506,-1
ABF-0015412,3334872,3335672,-1
ABF-0015414,3626339,3627799,-1
ABF-0015415,3627967,3629484,-1
ABF-0015417,3630036,3630737,1
ABF-0015418,3630779,3631615,1
ABF-0015420,3631918,3632922,-1
ABF-0015421,3633041,3633385,-1
ABF-0015422,3633466,3634863,-1
ABF-0015423,3635042,3636322,1
ABF-0015425,3636373,3638394,-1
ABF-0015426,3638391,3639302,-1
ABF-0015427,3639314,3640111,-1
ABF-0015432,3642948,3645419,-1
ABF-0015433,3645608,3646141,1
ABF-0015434,3646154,3646873,1
ABF-0015436,3647044,3647499,1
ABF-0015438,3647593,3648501,1
ABF-0015439,3648515,3648700,-1
ABF-0015440,3648570,3649973,1
ABF-0015441,3649970,3650458,1
ABF-0015443,3650619,3651413,1
ABF-0015444,3651429,3652283,1
ABF-0015446,3652309,3652689,1
ABF-0015447,3652759,3653529,-1
ABF-0015452,4432023,4433393,-1
ABF-0015453,4430990,4432021,-1
ABF-0015454,4397563,4397850,-1
ABF-0015455,4397862,4398221,-1
ABF-0015456,4398239,4398628,-1
ABF-0015457,4398628,4399350,-1
ABF-0015458,4399533,4401176,1
ABF-0015459,4401173,4401841,1
ABF-0015460,4401838,4402965,1
ABF-0015461,4403118,4403969,-1
ABF-0015463,4404183,4404401,1
ABF-0015464,4404468,4405511,-1
ABF-0015465,4405663,4406694,-1
ABF-0015466,4407095,4408462,1
ABF-0015467,4408562,4408858,-1
ABF-0015468,4409119,4409328,-1
ABF-0015470,4409437,4410687,1
ABF-0015472,4410760,4411350,-1
ABF-0015473,4411494,4411733,-1
ABF-0015474,4411757,4413562,-1
ABF-0015475,4413566,4414117,-1
ABF-0015476,4414242,4416161,1
ABF-0015477,4416227,4416832,-1
ABF-0015478,4416952,4417950,1
ABF-0015479,4417947,4418183,1
ABF-0015480,4418310,4419179,1
ABF-0015481,4419225,4419632,-1
ABF-0015482,4420021,4420653,1
ABF-0015484,4420741,4421964,-1
ABF-0015486,4422085,4422660,-1
ABF-0015487,4422901,4424106,-1
ABF-0015488,4424078,4424320,-1
ABF-0015493,4424923,4425339,1
ABF-0015494,4425302,4427263,-1
ABF-0015498,4427727,4428353,-1
ABF-0015499,4428565,4429707,-1
ABF-0015500,4429704,4430993,-1
ABF-0015501,1454001,1455197,1
ABF-0015503,1453447,1453872,1
ABF-0015506,1457171,1457995,1
ABF-0015508,1456655,1457161,1
ABF-0015510,2343910,2344233,-1
ABF-0015511,2344288,2345748,-1
ABF-0015512,2346386,2346844,1
ABF-0015513,2346970,2348673,-1
ABF-0015514,2348803,2349099,-1
ABF-0015515,2349308,2350066,1
ABF-0015516,2350146,2350568,-1
ABF-0015517,2350620,2351180,-1
ABF-0015519,2351374,2352126,-1
ABF-0015520,2352245,2352607,-1
ABF-0015522,2352890,2353522,1
ABF-0015523,2353602,2354333,-1
ABF-0015527,2354808,2355617,-1
ABF-0015528,2355617,2356807,-1
ABF-0015529,2356825,2358210,-1
ABF-0015530,2358219,2359217,-1
ABF-0015532,2359237,2359815,-1
ABF-0015533,2359815,2361377,-1
ABF-0015534,2361763,2362623,1
ABF-0015535,2362715,2363335,1
ABF-0015536,2363527,2364417,1
ABF-0015537,2364487,2365077,-1
ABF-0015538,2365099,2365860,-1
ABF-0015540,2366145,2367191,1
ABF-0015543,2367676,2368167,1
ABF-0015544,2368406,2368999,-1
ABF-0015546,2369441,2369710,-1
ABF-0015549,2370152,2372755,1
ABF-0015551,2373092,2374066,1
ABF-0015552,2374162,2374797,-1
ABF-0015553,2374799,2375491,-1
ABF-0015554,2375488,2376120,-1
ABF-0015555,2376130,2377182,-1
ABF-0015557,2377183,2379402,-1
ABF-0015558,2379395,2379985,-1
ABF-0015559,2379985,2380566,-1
ABF-0015561,2380845,2381060,-1
ABF-0015564,2381584,2383095,-1
ABF-0015565,2383150,2384835,-1
ABF-0015566,2385218,2386201,1
ABF-0015567,2386291,2387814,1
ABF-0015568,2387833,2388819,1
ABF-0015569,2388887,2389837,1
ABF-0015570,2390045,2391094,1
ABF-0015572,2391248,2392249,1
ABF-0015573,2392426,2392884,1
ABF-0015574,2393010,2394026,-1
ABF-0015577,2650274,2650828,-1
ABF-0015579,2651151,2652320,1
ABF-0015580,2652324,2654426,1
ABF-0015581,2654438,2655409,1
ABF-0015582,2655409,2656788,1
ABF-0015583,2656775,2657254,1
ABF-0015584,2657251,2657775,1
ABF-0015585,2657772,2658920,1
ABF-0015586,2658917,2659570,1
ABF-0015587,2659578,2659838,1
ABF-0015588,2659846,2660649,1
ABF-0015589,2660689,2661768,1
ABF-0015591,2662077,2662763,1
ABF-0015593,2662971,2663450,-1
ABF-0015594,2663519,2663674,-1
ABF-0015596,2663997,2664491,1
ABF-0015597,2664652,2665881,1
ABF-0015598,2665862,2666278,1
ABF-0015600,2666571,2668544,1
ABF-0015603,2669002,2671023,1
ABF-0015604,2671423,2672253,1
ABF-0015605,2672273,2673682,-1
ABF-0015606,2674050,2674721,1
ABF-0015607,2674730,2675404,1
ABF-0015608,2675448,2676230,1
ABF-0015609,2676240,2677157,1
ABF-0015611,2677265,2678074,-1
ABF-0015612,2678103,2679281,-1
ABF-0015613,2679359,2680150,-1
ABF-0015615,2680264,2681043,1
ABF-0015616,2681284,2681643,1
ABF-0015618,2681764,2682774,-1
ABF-0015620,2683114,2683950,-1
ABF-0015621,2683966,2685237,-1
ABF-0015623,2685274,2686305,-1
ABF-0015626,2686612,2688073,-1
ABF-0015628,1867527,1868252,1
ABF-0015629,1866751,1867521,1
ABF-0015630,1866032,1866745,1
ABF-0015631,1865275,1866027,1
ABF-0015632,1864721,1865152,1
ABF-0015633,1863689,1864612,1
ABF-0015635,1862142,1863344,-1
ABF-0015636,1861082,1861849,1
ABF-0015637,1860092,1861072,1
ABF-0015638,1859406,1860095,1
ABF-0015639,1858562,1859398,1
ABF-0015640,1857355,1858272,-1
ABF-0015641,1856852,1857301,1
ABF-0015642,1855765,1856787,1
ABF-0015643,1854380,1855528,-1
ABF-0015644,1853150,1854379,-1
ABF-0015645,1852093,1853094,1
ABF-0015647,316196,317182,-1
ABF-0015649,317346,319292,1
ABF-0015652,319607,320650,1
ABF-0015654,320754,321890,1
ABF-0015655,321887,322375,1
ABF-0015656,322400,322993,1
ABF-0015657,322983,324452,1
ABF-0015658,324545,328399,1
ABF-0015659,328446,329891,1
ABF-0015660,329980,330924,-1
ABF-0015661,331263,331466,1
ABF-0015662,331474,332421,1
ABF-0015663,332432,334384,1
ABF-0015664,334391,334891,-1
ABF-0015665,335008,335634,1
ABF-0015666,336038,336586,-1
ABF-0015668,336777,338117,1
ABF-0015670,338184,338594,-1
ABF-0015671,338775,339047,-1
ABF-0015672,339044,339898,-1
ABF-0015673,340047,340535,-1
ABF-0015674,340629,340916,-1
ABF-0015675,340941,342374,-1
ABF-0015676,342422,343147,-1
ABF-0015677,343163,343741,-1
ABF-0015678,343719,344288,-1
ABF-0015679,344285,344851,-1
ABF-0015680,344901,345887,-1
ABF-0015681,345918,346880,-1
ABF-0015684,347162,347971,1
ABF-0015685,347975,348757,1
ABF-0015686,348762,349385,1
ABF-0015687,349403,350056,1
ABF-0015688,350049,350351,1
ABF-0015689,350484,350738,1
ABF-0015691,350796,352058,1
ABF-0015692,352117,353178,-1
ABF-0015693,353267,354637,-1
ABF-0015694,354874,355083,-1
ABF-0015695,355162,355278,-1
ABF-0015698,356675,357562,-1
ABF-0015699,358037,358465,1
ABF-0015700,358481,358873,1
ABF-0015703,359171,359797,1
ABF-0015704,359790,361043,1
ABF-0015706,361274,361915,1
ABF-0015707,361920,362417,1
ABF-0015709,362550,362960,1
ABF-0015710,363034,364452,-1
ABF-0015711,364462,368922,-1
ABF-0015712,369116,369235,1
ABF-0015713,369641,370570,1
ABF-0015714,370664,371812,1
ABF-0015715,371858,373003,1
ABF-0015716,373240,373893,1
ABF-0015717,373890,374639,1
ABF-0015718,374649,376034,1
ABF-0015719,376127,376702,-1
ABF-0015720,376713,377303,-1
ABF-0015721,377341,377736,-1
ABF-0015722,377694,379745,-1
ABF-0015723,379805,380674,1
ABF-0015726,381360,382169,1
ABF-0015728,382348,383136,1
ABF-0015730,383261,384421,-1
ABF-0015731,384433,385194,-1
ABF-0015732,385387,386799,-1
ABF-0015735,1687862,1688488,-1
ABF-0015736,1685826,1687865,-1
ABF-0015737,1684866,1685813,-1
ABF-0015738,1683410,1684849,-1
ABF-0015739,1682750,1683400,-1
ABF-0015740,1681068,1682744,-1
ABF-0015741,1679348,1681075,-1
ABF-0015742,1678768,1679337,-1
ABF-0015744,1677980,1678771,-1
ABF-0015745,1677585,1677983,-1
ABF-0015747,1677098,1677592,-1
ABF-0015748,1676534,1677022,1
ABF-0015749,1676268,1676525,1
ABF-0015750,1676124,1676345,-1
ABF-0015752,1675215,1675757,-1
ABF-0015753,1673030,1675180,-1
ABF-0015754,1670755,1672938,1
ABF-0015765,1666706,1667422,-1
ABF-0015766,1665540,1666619,-1
ABF-0015768,1662247,1665360,-1
ABF-0015769,1661458,1661799,-1
ABF-0015773,1658774,1660318,-1
ABF-0015779,1654867,1656051,1
ABF-0015780,1654199,1654579,1
ABF-0015781,1653898,1654230,1
ABF-0015783,1652920,1653510,-1
ABF-0015784,1652293,1652778,1
ABF-0015785,1651093,1651992,1
ABF-0015786,1649493,1651019,1
ABF-0015787,1648304,1649482,1
ABF-0015788,1647819,1648289,1
ABF-0015790,1646851,1647612,1
ABF-0015791,1646035,1646847,1
ABF-0015792,1645129,1646028,1
ABF-0015793,1644194,1645126,1
ABF-0015794,1642547,1644121,1
ABF-0015795,1641665,1642462,1
